id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_conductor,id_proveedor,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,ciudad,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,historial_siniestros_vehiculo,historial_siniestros_conductor,historial_solo_rc_asegurado,tipo_impacto,hora_evento,tercero_identificado,evidencia_camaras,tipo_via,clima,documento_inconsistente,relato_ilogico,narrativa_cluster_id,similitud_narrativa_max,etiqueta_fraude_simulada,perfil_riesgo_generacion,suma_asegurada,deducible,canal_venta,proveedor_en_lista_restrictiva,proveedor_casos_observados_ultimo_anio,ratio_monto_suma_asegurada,score_reglas,score_modelo_simulado,score_final,nivel_riesgo,alertas_activadas,reglas_criticas_activadas,accion_sugerida
SIN-00001,POL-00417,ASEG-00073,VEH-00335,COND-00468,PROV-0008,Vehiculos,Choque,2025-09-03,2025-09-10,3120,2850,0,Reserva,Guayaquil Sur,Guayaquil,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0008,304,61,7,1,1,0,0,Posterior,19,Si,No aplica,Interprovincial,Despejado,No,No,,0.47,0,normal,9400,250,Agente,No,1,0.3319,3,11.1,5.8,Verde Bajo,Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00002,POL-00229,ASEG-00295,VEH-00211,COND-00016,PROV-0053,Vehiculos,Choque,2023-09-22,2023-09-25,6140,7640,0,Pago Parcial,Guayaquil Centro,Guayaquil,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0053,173,192,3,1,1,0,0,Frontal,8,Si,Si,Interprovincial,Neblina,No,No,,0.39,0,normal,28600,400,Banca Seguros,No,5,0.2147,5,18.1,9.6,Verde Bajo,Proveedor recurrente en casos observados,,Continuar flujo normal con controles estandar
SIN-00003,POL-00363,ASEG-00032,VEH-00098,COND-00194,PROV-0049,Vehiculos,Robo Total,2024-07-20,2024-07-25,11110,11410,4440,Liquidado,Quito Norte,Quito,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0049,350,15,5,3,3,2,2,Robo,4,Si,No,Interprovincial,Noche lluvia,Si,No,,0.57,1,alto,11700,300,Directo Web,No,5,0.9496,48,71.9,89.1,Rojo Alto,Borde vigencia: siniestro cerca de fin de poliza | Demora denuncia por robo mayor a 48 horas | Alta frecuencia de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Frecuencia moderada de reclamos del conductor | Proveedor recurrente en casos observados | Documentos inconsistentes o fechas no coinciden | Reporte tardio entre 4 y 7 dias,RF-02 | RF-06,Escalar a unidad antifraude para revision especializada
SIN-00004,POL-00144,ASEG-00262,,,PROV-0018,Accidentes Personales,Accidente Personal,2024-03-07,2024-03-09,2780,2520,1670,Reserva,Manta,Manta,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0018,201,164,2,1,0,0,0,Volcadura,15,Si,No,Parqueadero,Neblina,No,No,,0.47,0,normal,20000,50,Banca Seguros,No,2,0.139,0,13.7,4.8,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00005,POL-00163,ASEG-00276,VEH-00268,COND-00435,PROV-0023,Vehiculos,Danos Propios,2024-07-25,2024-07-28,8800,5810,8800,Reserva,Cuenca,Cuenca,Me chocaron saliendo del parqueadero y el otro vehiculo huyo sin dejar datos.,Si,PROV-0023,26,339,3,0,0,1,0,Frontal,4,No,No,Parqueadero,Lluvia,No,No,CLON-01,0.95,1,alto,18900,1000,Banca Seguros,No,1,0.4656,25,71.0,59.6,Amarillo Medio,Borde vigencia: siniestro entre dias 11 y 30 | Accidente complejo en horario de madrugada | Evento sin tercero identificado ni evidencia de camaras | Narrativa con similitud mayor a 85% frente a otro reclamo | Monto reclamado alto frente a suma asegurada o estimado,RF-07,Escalar a revision documental y validacion de soportes
SIN-00006,POL-00219,ASEG-00206,,,PROV-0048,Accidentes Personales,Accidente Personal,2023-08-25,2023-08-27,3430,2950,0,Reserva,Santo Domingo,Santo Domingo,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,No,PROV-0048,75,290,2,0,0,0,0,Volcadura,13,No,No,Parqueadero,Despejado,No,No,,0.54,0,medio,15000,100,Banca Seguros,No,1,0.2287,4,31.4,13.6,Verde Bajo,Documentos incompletos,,Continuar flujo normal con controles estandar
SIN-00007,POL-00515,ASEG-00105,VEH-00231,COND-00297,PROV-0040,Vehiculos,Perdida Total por Robo,2025-10-30,2025-11-05,7960,8100,0,Reserva,Machala,Machala,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0040,44,321,6,1,1,1,0,Robo,1,No,No,Parqueadero,Noche seca,No,Si,,0.07,0,normal,10600,300,Directo Web,No,1,0.7509,22,26.9,82.8,Rojo Alto,Demora denuncia por robo mayor a 48 horas | Relato ilogico frente al tipo de impacto | Evento sin tercero identificado ni evidencia de camaras | Reporte tardio entre 4 y 7 dias,RF-01 | RF-04 | RF-06,Escalar a unidad antifraude para revision especializada
SIN-00008,POL-00322,ASEG-00237,VEH-00240,COND-00104,PROV-0017,Vehiculos,Danos Propios,2025-10-29,2025-10-29,4490,4540,3600,Cierre Sin Consecuencia,Loja,Loja,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0017,299,66,0,1,0,1,0,Lateral,10,Si,Si,Perimetral,Noche lluvia,No,No,,0.2,0,normal,13600,400,Agente,No,0,0.3301,0,14.6,5.1,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00009,POL-00454,ASEG-00046,VEH-00248,COND-00211,PROV-0021,Vehiculos,Danos Propios,2024-04-21,2024-04-23,15040,14470,6020,Cierre Sin Consecuencia,Guayaquil Norte,Guayaquil,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0021,136,229,2,5,0,0,3,Posterior,20,No,No,Urbana,Lluvia,No,No,,0.39,0,normal,39500,500,Sucursal,No,0,0.3808,19,21.8,20.0,Verde Bajo,Alta frecuencia de reclamos del asegurado | Frecuencia atipica de reclamos solo RC | Evento sin tercero identificado ni evidencia de camaras,,Continuar flujo normal con controles estandar
SIN-00010,POL-00397,ASEG-00189,VEH-00338,COND-00402,PROV-0045,Vehiculos,Perdida Total por Robo,2024-06-13,2024-06-23,30870,29000,24690,Pago Parcial,Santo Domingo,Santo Domingo,Me chocaron saliendo del parqueadero y el otro vehiculo huyo sin dejar datos.,Si,PROV-0045,351,14,10,1,1,0,0,Robo,4,Si,No aplica,Parqueadero,Despejado,Si,No,CLON-01,0.91,1,alto,41000,300,Banca Seguros,No,5,0.7529,40,75.6,87.8,Rojo Alto,Borde vigencia: siniestro cerca de fin de poliza | Demora denuncia por robo mayor a 48 horas | Proveedor recurrente en casos observados | Documentos inconsistentes o fechas no coinciden | Reporte tardio mayor a 7 dias | Narrativa con similitud mayor a 85% frente a otro reclamo,RF-01 | RF-02 | RF-06 | RF-07,Escalar a unidad antifraude para revision especializada
